,age,education,activity_work,voted,voted_party,close_party,which_p_close,how_close,placement_l_r,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gender,educational_level,political_trust
17181,72.0,14.0,6.0,1.0,5.0,1.0,5.0,3.0,7.0,6.0,7.0,6.0,4.0,6.0,6.0,7.0,7.0,8.0,5.0,6.0,4.0,8.0,Male,highly_educated,6.0
17182,57.0,16.0,1.0,1.0,6.0,2.0,66.0,6.0,2.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,9.0,Male,highly_educated,7.0
17183,16.0,2.0,2.0,3.0,7.4,2.0,66.0,6.0,7.0,6.0,8.0,7.0,6.0,5.0,8.0,8.0,7.0,6.0,4.0,7.0,7.0,6.0,Male,lower_educated,6.0
17184,51.0,17.0,1.0,1.0,6.0,1.0,6.0,3.0,7.0,2.0,9.0,9.0,2.0,2.0,1.0,6.0,9.0,8.0,2.0,7.0,9.0,8.0,Male,highly_educated,2.0
17185,39.0,2.0,5.0,1.0,9.6,2.0,66.0,6.0,6.0,7.0,7.0,9.0,7.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,7.0,Male,lower_educated,6.0
17186,33.0,14.0,8.0,1.0,6.0,2.0,66.0,6.0,6.0,7.0,5.0,8.0,5.0,6.0,7.0,7.0,8.0,6.0,6.0,8.0,7.0,8.0,Female,highly_educated,6.0
17187,35.0,14.0,1.0,1.0,8.0,1.0,8.0,2.0,5.0,6.0,7.0,7.0,6.0,6.0,5.0,5.0,7.0,6.0,5.0,6.0,4.0,4.0,Female,highly_educated,6.0
17188,19.0,4.0,1.0,3.0,5.0,1.0,5.0,2.0,5.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,9.0,6.0,5.0,7.0,7.0,7.0,Female,lower_educated,8.0
17189,67.0,14.0,8.0,1.0,7.0,1.0,7.0,1.0,6.0,5.0,8.0,5.0,5.0,5.0,4.0,5.0,9.0,7.0,6.0,7.0,7.0,7.0,Male,highly_educated,5.0
17190,33.0,17.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,7.0,8.0,8.0,6.0,7.0,6.0,9.0,8.0,7.0,6.0,6.0,8.0,8.0,Male,highly_educated,6.0
17191,66.0,14.0,1.0,1.0,9.0,1.0,9.0,2.0,7.0,4.0,4.0,4.0,4.0,5.0,3.0,6.0,9.0,5.0,5.0,6.0,5.0,5.0,Female,highly_educated,4.0
17192,69.0,16.0,6.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,3.0,5.0,2.0,2.0,0.0,0.0,8.0,7.0,4.0,4.0,6.0,7.0,Male,highly_educated,2.0
17193,42.0,3.0,1.0,1.0,12.0,2.0,66.0,6.0,5.0,6.0,7.0,7.0,5.0,5.0,4.0,4.0,7.0,7.0,2.0,7.0,8.0,6.0,Female,lower_educated,5.0
17194,30.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,4.0,6.0,7.0,3.0,3.0,4.0,7.0,9.0,7.0,3.0,3.0,7.0,9.0,Male,mid_educated,4.0
17195,65.0,10.0,5.0,2.0,17.0,1.0,17.0,2.0,5.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,9.0,6.0,2.0,5.0,8.0,9.0,Female,mid_educated,1.0
17196,33.0,14.0,1.0,1.0,7.4,2.0,66.0,6.0,5.0,7.0,8.0,8.0,6.0,7.0,7.0,6.0,6.0,7.0,5.0,8.0,5.0,7.0,Male,highly_educated,7.0
17197,32.0,10.0,8.0,1.0,9.0,1.0,9.0,1.0,7.0,6.0,6.0,8.0,5.0,6.0,6.0,6.0,8.0,7.0,6.0,6.0,6.0,9.0,Female,mid_educated,6.0
17198,26.0,17.0,1.0,3.0,7.2,2.0,66.0,6.0,4.0,6.0,8.0,8.0,5.0,5.0,7.0,7.0,9.0,7.0,6.0,8.0,8.0,8.0,Female,highly_educated,6.0
17199,66.0,16.0,6.0,1.0,17.0,1.0,17.0,2.0,6.0,7.0,8.0,8.0,6.0,6.0,5.0,7.0,8.0,7.0,6.0,6.0,7.0,8.0,Female,highly_educated,6.0
17200,64.0,17.0,1.0,1.0,10.0,1.0,10.0,1.0,4.0,6.0,9.0,8.0,6.0,7.0,6.0,8.0,9.0,8.0,6.0,8.0,7.0,8.0,Male,highly_educated,6.0
17201,67.0,3.0,6.0,1.0,1.0,8.0,66.0,6.0,8.0,3.0,4.0,7.0,3.0,5.0,4.0,6.0,5.0,5.0,3.0,3.0,5.0,2.0,Female,lower_educated,4.0
17202,66.0,3.0,6.0,2.0,8.0,2.0,66.0,6.0,5.0,6.0,8.0,7.0,5.0,6.0,0.0,8.0,10.0,6.0,4.0,5.0,6.0,7.0,Male,lower_educated,4.0
17203,56.0,3.0,1.0,1.0,2.0,2.0,66.0,6.0,5.0,4.0,5.0,8.0,6.0,6.0,6.0,5.0,8.0,2.0,5.0,5.0,3.0,3.0,Female,lower_educated,6.0
17204,57.0,17.0,1.0,1.0,8.0,1.0,8.0,3.0,3.0,7.0,8.0,8.0,5.0,4.0,2.0,2.0,7.0,7.0,3.0,5.0,6.0,6.0,Female,highly_educated,4.0
17205,32.0,9.0,1.0,1.0,2.0,1.0,2.0,2.0,6.2,8.0,6.0,8.0,9.0,5.0,8.0,7.0,7.0,7.0,7.0,5.0,9.0,8.0,Female,mid_educated,8.0
17206,68.0,3.0,8.0,1.0,17.0,1.0,17.0,2.0,5.0,4.0,4.0,7.0,4.0,4.0,0.0,5.0,7.0,3.0,0.0,1.0,7.0,7.0,Female,lower_educated,3.0
17207,88.0,7.0,8.0,1.0,9.0,1.0,9.0,2.0,8.0,4.0,6.0,7.0,5.0,4.0,3.0,2.0,9.0,7.0,3.0,6.0,6.0,7.0,Female,mid_educated,4.0
17208,37.0,4.0,1.0,1.0,9.0,1.0,9.0,1.0,8.0,5.0,8.0,10.0,5.0,5.0,2.0,5.0,8.0,6.0,4.0,8.0,10.0,9.0,Male,lower_educated,4.0
17209,44.0,14.0,1.0,1.0,1.0,2.0,66.0,6.0,3.0,6.0,8.0,9.0,5.0,5.0,6.0,8.0,8.0,7.0,5.0,9.0,8.0,9.0,Male,highly_educated,6.0
17210,28.0,17.0,1.0,1.0,77.0,1.0,77.0,6.0,5.0,6.0,7.0,7.0,6.0,3.0,7.0,3.0,8.0,6.0,5.0,6.0,4.0,6.0,Male,highly_educated,6.0
17211,68.0,3.0,6.0,1.0,1.0,2.0,66.0,6.0,6.0,7.0,4.0,9.0,7.0,7.0,7.0,5.0,9.0,5.0,6.0,9.0,5.0,5.0,Female,lower_educated,7.0
17212,39.0,16.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,6.0,8.0,7.0,5.0,5.0,6.0,5.0,8.0,7.0,5.0,6.0,5.0,7.0,Female,highly_educated,6.0
17213,50.0,11.0,1.0,1.0,4.0,1.0,4.0,2.0,3.0,8.0,8.0,8.0,6.0,7.0,8.0,6.0,9.0,3.0,2.0,4.0,6.0,6.0,Female,mid_educated,7.0
