,respondent,age,education,activity_work,voted,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,ppltrst,pplfair,pplhlp,atchctr,atcherp,gender,educational_level,political_trust
639,17107.0,67.0,9.0,9.0,1.0,3.0,4.0,7.0,2.0,3.0,3.0,3.0,5.0,7.0,8.0,8.0,7.0,Female,mid_educated,2.75
640,17108.0,56.0,3.0,1.0,1.0,7.0,8.0,8.0,6.0,6.0,7.0,7.0,3.0,5.0,7.0,8.0,8.0,Male,lower_educated,6.5
641,17109.0,36.0,7.0,1.0,1.0,8.0,9.0,6.0,5.0,4.0,6.0,4.0,8.0,9.0,7.0,8.0,8.0,Male,mid_educated,5.75
642,17110.0,41.0,4.0,1.0,1.0,7.0,9.0,7.0,3.0,4.0,5.0,8.0,3.0,7.0,3.0,2.0,7.0,Male,lower_educated,4.75
643,17111.0,73.0,17.0,8.0,1.0,8.0,9.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,Male,highly_educated,7.75
644,17112.0,45.0,17.0,1.0,1.0,7.0,9.0,9.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,Male,highly_educated,6.75
645,17113.0,60.0,14.0,1.0,1.0,5.0,6.0,7.8,6.0,6.0,6.8,7.2,5.0,5.0,6.0,9.0,9.0,Female,highly_educated,5.95
646,17114.0,65.0,16.0,9.0,1.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,8.0,7.0,8.0,8.0,7.0,Male,highly_educated,7.0
647,17115.0,66.0,10.0,6.0,1.0,8.0,9.0,9.0,8.0,7.0,7.0,9.0,7.0,8.0,8.0,9.0,7.0,Male,mid_educated,7.5
648,17116.0,65.0,3.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,7.0,8.0,5.0,5.0,Female,lower_educated,0.0
649,17117.0,63.0,9.0,5.0,2.0,3.0,0.0,7.0,0.0,2.0,0.0,4.0,4.0,7.0,7.0,0.0,0.0,Male,mid_educated,1.25
650,17118.0,61.0,3.0,5.0,1.0,7.0,7.0,6.0,5.0,6.0,7.0,4.0,0.0,5.0,4.0,9.0,7.0,Female,lower_educated,6.25
651,17119.0,53.0,4.0,1.0,1.0,5.0,7.0,7.0,5.0,6.0,6.0,7.0,7.0,6.0,8.0,9.0,7.0,Male,lower_educated,5.5
652,17120.0,44.0,17.0,1.0,1.0,7.0,8.0,6.0,3.0,5.0,4.0,7.0,7.0,7.0,8.0,5.0,4.0,Male,highly_educated,4.75
653,17121.0,36.0,14.0,1.0,3.0,8.0,9.0,8.0,4.0,3.0,8.0,3.0,8.0,4.0,5.0,5.0,5.0,Male,highly_educated,5.75
654,17122.0,52.0,9.0,1.0,2.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,8.0,7.0,Female,mid_educated,7.5
655,17123.0,52.0,13.0,1.0,1.0,2.0,8.0,8.0,3.0,3.0,4.0,3.0,7.0,7.0,7.0,7.0,7.0,Female,highly_educated,3.0
656,17124.0,36.0,14.0,1.0,1.0,8.0,8.0,10.0,6.0,6.0,8.0,9.0,9.0,9.0,7.0,8.0,7.0,Female,highly_educated,7.0
657,17125.0,47.0,5.0,1.0,2.0,5.0,5.0,7.0,5.0,5.0,5.0,7.0,3.0,2.0,5.0,8.0,5.0,Female,lower_educated,5.0
658,17126.0,82.0,3.0,6.0,1.0,5.0,7.4,7.6,5.8,5.4,6.0,4.8,7.0,7.0,7.0,8.0,5.0,Male,lower_educated,5.550000000000001
