,gender,age,education,activity_work,educational_level,voted,voted_party,close_party,which_p_close,how_close,placement_l_r,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
18150,Female,49.0,14.0,1.0,highly_educated,1.0,10.0,1,10.0,2,2.0,7.0,9.0,8.0,7.0,5.0,6.0,
18151,Male,27.0,14.0,1.0,highly_educated,1.0,6.0,1,8.0,2,1.0,7.0,8.0,8.0,6.0,6.0,7.0,4.0
18152,Female,43.0,2.0,8.0,lower_educated,2.0,,2,66.0,6,7.0,6.0,10.0,9.0,8.0,8.0,5.0,9.0
18153,Female,54.0,15.0,1.0,highly_educated,1.0,1.0,1,1.0,2,7.0,8.0,8.0,8.0,7.0,6.0,5.0,6.0
18154,Male,56.0,4.0,1.0,lower_educated,2.0,,2,66.0,6,5.0,2.0,1.0,5.0,1.0,2.0,5.0,7.0
18155,Male,72.0,17.0,8.0,highly_educated,1.0,6.0,1,15.0,2,5.0,4.0,8.0,9.0,6.0,5.0,6.0,7.0
18156,Male,53.0,17.0,1.0,highly_educated,3.0,,1,6.0,2,5.0,8.0,10.0,8.0,7.0,6.0,7.0,7.0
18157,Female,19.0,7.0,2.0,mid_educated,2.0,,2,66.0,6,4.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0
18158,Male,27.0,10.0,1.0,mid_educated,2.0,,2,66.0,6,5.0,5.0,7.0,8.0,8.0,5.0,4.0,4.0
18159,Male,54.0,16.0,1.0,highly_educated,1.0,1.0,2,66.0,6,8.0,6.0,8.0,7.0,7.0,7.0,6.0,7.0
18160,Male,16.0,4.0,2.0,lower_educated,3.0,,2,66.0,6,7.0,7.0,6.0,7.0,4.0,4.0,4.0,
18161,Male,23.0,15.0,1.0,highly_educated,1.0,6.0,2,66.0,6,5.0,6.0,9.0,8.0,6.0,6.0,7.0,8.0
18162,Male,72.0,14.0,6.0,highly_educated,1.0,5.0,1,5.0,2,6.0,7.0,7.0,8.0,5.0,6.0,5.0,7.0
